INDEX,ZHATNUM,ZHATLABEL,STATE,PARTY,FIRSTNAME,LASTNAME,SERVEDCONG,INCORCOMPRACE,MEAN,SD,CFSCORE,CFSCORE.DYN,DWNOM.COMMON,DWNOM112.COMMON,DWNOM112_BSE.COMMON,NAIVEMEAN,NAIVEMEAN.all,LABEL,LABEL2
93,zhat[93],MO.inc1,MO,D,Claire,McCaskill,1,1,-0.7142168,0.023773564,-1.156987652,-0.802748089,-0.16,,,-1.3989071,-1.3989071,McCaskill (D-MO),McCaskill (D-MO)
94,zhat[94],MS.inc1,MS,R,Roger,Wicker,1,1,0.9615807,0.025501001,1.050310436,1.04426979,0.388,,,1.70760234,1.70760234,Wicker (R-MS),Wicker (R-MS)
95,zhat[95],MT.inc1,MT,D,Max,Baucus,1,1,-0.7141593,0.0220411,-0.469513705,-0.368177957,-0.226,,,-1.52879581,-1.52879581,Baucus (D-MT),Baucus (D-MT)
96,zhat[96],NC.inc1,NC,D,Kay,Hagan,1,1,-0.5926579,0.032352913,-0.830428892,-0.254662155,-0.213,,,-1.18518519,-1.18518519,Hagan (D-NC),Hagan (D-NC)
97,zhat[97],ND.inc1,ND,D,Kent,Conrad,1,1,-0.5566446,0.027451348,-0.568940741,0.023166244,-0.327,,,-0.99479167,-0.99479167,Conrad (D-ND),Conrad (D-ND)
98,zhat[98],NE.inc1,NE,R,Mike,Johanns,1,1,0.8738516,0.031503542,0.903285873,0.900968262,0.387,,,1.64880952,1.64880952,Johanns (R-NE),Johanns (R-NE)
99,zhat[99],NH.inc1,NH,D,Jeanne,Shaheen,1,1,-0.8009006,0.021584503,-1.150752835,-0.868709303,-0.31,,,-1.5698324,-1.5698324,Shaheen (D-NH),Shaheen (D-NH)
100,zhat[100],NJ.inc1,NJ,D,Robert,Menendez,1,1,-0.817829,0.021840329,-0.647885374,-0.571906764,-0.382,,,-1.57228916,-1.57228916,Menendez (D-NJ),Menendez (D-NJ)
101,zhat[101],NM.inc1,NM,D,Tom,Udall,1,1,-0.8136779,0.027122991,-1.148387886,-1.141908673,-0.48,,,-1.49444444,-1.49444444,Udall (D-NM),Udall (D-NM)
102,zhat[102],NV.inc1,NV,R,John,Ensign,1,1,0.8397111,0.02928763,0.510454655,0.440620497,0.536,,,1.60555556,1.60555556,Ensign (R-NV),Ensign (R-NV)
103,zhat[103],OH.inc1,OH,D,Sherrod,Brown,1,1,-0.7772439,0.032075646,-1.078721938,-0.584972023,-0.472,,,-1.56875,-1.56875,Brown (D-OH),Brown (D-OH)
104,zhat[104],OK.inc1,OK,R,James,Inhofe,1,1,1.1011215,0.02253808,0.951704147,0.933758712,0.556,,,2.08241758,2.08241758,Inhofe (R-OK),Inhofe (R-OK)
105,zhat[105],OR.inc1,OR,D,Jeff,Merkley,1,1,-0.7889097,0.036363875,-1.294197781,-0.919224272,-0.411,,,-1.5443787,-1.5443787,Merkley (D-OR),Merkley (D-OR)
106,zhat[106],PA.inc1,PA,D,Robert,Casey,1,1,-0.5217089,0.034895851,-0.890340381,-0.706074704,-0.327,,,-1.18787879,-1.18787879,Casey (D-PA),Casey (D-PA)
107,zhat[107],RI.inc1,RI,D,Sheldon,Whitehouse,1,1,-0.8918384,0.022499242,-1.051805304,-0.969891172,-0.481,,,-1.62427746,-1.62427746,Whitehouse (D-RI),Whitehouse (D-RI)
108,zhat[108],SC.inc1,SC,R,Lindsey,Graham,1,1,0.3968169,0.041544946,0.69794164,0.329448721,0.427,,,0.69945355,0.69945355,Graham (R-SC),Graham (R-SC)
109,zhat[109],SD.inc1,SD,D,Tim,Johnson,1,1,-0.692679,0.024084683,-0.727001915,0.065593029,-0.263,,,-1.73796791,-1.73796791,Johnson (D-SD),Johnson (D-SD)
110,zhat[110],TN.inc1,TN,R,Bob,Corker,1,1,0.8242078,0.025227383,1.000868077,0.913589068,0.382,,,1.52023121,1.52023121,Corker (R-TN),Corker (R-TN)
