INDEX,ZHATNUM,ZHATLABEL,STATE,PARTY,FIRSTNAME,LASTNAME,SERVEDCONG,INCORCOMPRACE,MEAN,SD,CFSCORE,CFSCORE.DYN,DWNOM.COMMON,DWNOM112.COMMON,DWNOM112_BSE.COMMON,NAIVEMEAN,NAIVEMEAN.all,LABEL,LABEL2
40,zhat[40],NY2.D,NY,D,Kirsten,Gillibrand,1,1,-0.6806853,0.031281719,-1.133176248,-1.010303437,-0.307,,,-1.23780488,-1.23780488,Gillibrand (D-NY),Gillibrand (D-NY)
41,zhat[41],AK.R,AK,R,Joe,Miller,0,0,1.1458524,0.02408894,1.384106281,1.387791045,,,,2.18333333,2.18333333,Miller (R-AK),Miller (R-AK)
42,zhat[42],AL.R,AL,R,Richard,Shelby,1,1,0.9370473,0.025579032,0.445644602,0.570288142,0.408,0.4,0.038,1.58333333,1.58333333,Shelby (R-AL),Shelby (R-AL)
43,zhat[43],AR.R,AR,R,John,Boozman,1,1,0.9589909,0.03417763,0.916700638,0.941191234,0.408,0.406,0.015,1.35672515,1.35672515,Boozman (R-AR),Boozman (R-AR)
44,zhat[44],AZ.R,AZ,R,John,McCain,1,1,0.5921077,0.034933549,0.68018326,0.96898082,0.372,,,1.03608247,1.03608247,McCain (R-AZ),McCain (R-AZ)
45,zhat[45],CA.R,CA,R,Carly,Fiorina,0,1,0.8759506,0.027677005,1.048726317,1.048106496,,,,1.65895954,1.65895954,Fiorina (R-CA),Fiorina (R-CA)
46,zhat[46],CO.R,CO,R,Ken,Buck,0,1,1.0707618,0.020987895,1.313288683,1.305390233,,,,2.20903955,2.20903955,Buck (R-CO),Buck (R-CO)
47,zhat[47],CT.R,CT,R,Linda,McMahon,0,1,0.8464288,0.026777075,0.830443186,1.085312748,,,,1.75956284,1.75956284,McMahon (R-CT),McMahon (R-CT)
48,zhat[48],DE.R,DE,R,Christine,O'Donnell,0,0,1.1477411,0.020869531,1.387294911,1.385541097,,,,2.10404624,2.10404624,O'Donnell (R-DE),O'Donnell (R-DE)
49,zhat[49],FL.R,FL,R,Marco,Rubio,0,1,1.0680638,0.025669531,1.142455171,1.163181889,0.576,0.57,0.021,2.08571429,2.08571429,Rubio (R-FL),Rubio (R-FL)
50,zhat[50],GA.R,GA,R,Johny,Isakson,1,1,0.9100963,0.028889967,0.902469238,0.917773421,0.415,0.421,0.029,1.74675325,1.74675325,Isakson (R-GA),Isakson (R-GA)
51,zhat[51],HI.R,HI,R,Cam,Cavasso,0,0,0.7949504,0.061174553,0.999619465,1.023432825,,,,1.18888889,1.18888889,Cavasso (R-HI),Cavasso (R-HI)
52,zhat[52],IA.R,IA,R,Charles,Grassley,1,1,0.8359398,0.027720408,0.692883097,0.788552579,0.331,0.329,0.046,1.49726776,1.49726776,Grassley (R-IA),Grassley (R-IA)
53,zhat[53],ID.R,ID,R,Mike,Crapo,1,1,0.8990325,0.026851182,0.888822427,1.006139768,0.481,0.479,0.019,1.4972067,1.4972067,Crapo (R-ID),Crapo (R-ID)
54,zhat[54],IL.R,IL,R,Mark,Kirk,1,1,0.665977,0.038358447,0.603263983,0.668723006,0.256,0.235,0.011,1.06329114,1.06329114,Kirk (R-IL),Kirk (R-IL)
55,zhat[55],IN.R,IN,R,Dan,Coats,1,1,0.7137179,0.038050438,1.045733863,1.007458342,0.37,0.362,0.035,1.15584416,1.15584416,Coats (R-IN),Coats (R-IN)
56,zhat[56],KS.R,KS,R,Jerry,Moran,1,1,0.7639378,0.03307575,1.04205743,0.989503111,0.422,0.416,0.021,1.41566265,1.41566265,Moran (R-KS),Moran (R-KS)
57,zhat[57],KY.R,KY,R,Rand,Paul,0,1,1.0412069,0.032946604,1.384755452,1.375185265,0.987,0.983,0.238,1.98823529,1.98823529,Paul (R-KY),Paul (R-KY)
58,zhat[58],LA.R,LA,R,David,Vitter,1,1,1.0209733,0.023313672,0.9488937,0.986498146,0.495,0.496,0.015,1.70786517,1.70786517,Vitter (R-LA),Vitter (R-LA)
59,zhat[59],MD.R,MD,R,Eric,Wargotz,0,0,0.9493774,0.048526963,0.413122674,0.416021808,,,,1.35526316,1.35526316,Wargotz (R-MD),Wargotz (R-MD)
60,zhat[60],MO.R,MO,R,Roy,Blunt,1,1,0.9272646,0.026150936,0.938101189,0.973251265,0.457,,,1.48901099,1.48901099,Blunt (R-MO),Blunt (R-MO)
61,zhat[61],NC.R,NC,R,Richard,Burr,1,1,0.8829845,0.032579554,0.874843313,0.871812765,0.471,,,1.49418605,1.49418605,Burr (R-NC),Burr (R-NC)
